Itemno,Whse,Bin,Onhand,Oncom,Aano
12-KND07S0452,1,A15I1X,3,0,0
12-MAD07S0452,1,A15F2X,1,0,0
12-NS730-B2B,1,A14O1X,6,0,0
12-P62S0547T,2,06L14B,1,0,0
12-RT002,X-W,X-STG,1,1,0
12-RT002,2,08R12A,14,0,0
12-RT057,X-W,X-STG,1,1,0
12-RT057,2,10R02A,23,1,0
12-RT073,X-W,X-STG,0,0,0
12-RT073,1,A15A3X,0,3,0
12-RT073,1,AONF04,17,0,0
12-RT093,1,A15C5X,10,0,0
12-RT093,1,AONF30,20,0,0
12-RT093,1,AONF02,29,0,0
12-RT093,2,10R01A,9,0,0
12-RUD07S0452,1,A15D3X,1,0,0
12-SV03-SAEBH001,1,A11H4X,1,0,0
12-SV03-SAEBH001,1,A11E5X,22,0,0
12-TT005,1,AONF11,8,0,0
12-TT005,1,AONF02,20,0,0
12-TT012,1,A15E5X,1,0,0
12-TT012,1,A15D3X,4,0,0
12-TT057,1,A15B4X,10,0,0
12-TT093,1,A15D3X,4,0,0
12-TT093,1,A15D5X,8,0,0
12-TY277-B2B,X-W,X-STG,1,1,0
12-TY277-B2B,1,A12J3X,11,0,0
12-TY277-B2B,1,A12K5X,16,0,0
12-TY277B-B2B,1,A12C3X,5,0,0
12-TY291-B2B,1,A12G5X,14,0,0
12-TY291-B2B,1,A12A1X,16,1,0
12-TY291-B2B,1,A14N6X,144,0,0
12-TY376-B2B,1,A12F3X,7,1,0
12-TY376-B2B,1,A14J5X,15,0,0
12-UD-F15004MBL008,X-W,X-STG,0,0,0
12-UD-F15004MBL008,1,A07J1X,3,0,0
12-UD-F15004MBL008,1,A07I3X,23,0,0
12-UD-F15097EB003,1,A12I4X,2,0,0
12-UD-F15097EB003,1,A12K5X,4,0,0
12-UD-F15097EB003,1,A19F3X,4,0,0
12-UD-F25099MB004,1,A29J2X,3,0,0
12-YH3339MBL,1,A12E4X,3,0,0
13-150409-150409-1,1,A28O2X,1,0,0
13-150409-150409-1,2,07R03B,1,0,0
13-20130709,1,A29N2X,9,0,0
13-20130709-1,X-W,X-STG,1,1,0
13-20130709-1,1,A29M1X,2,0,0
13-201308-5,1,A04M1X,1,1,0
13-201308-5,2,07L24A,2,0,0
13-20131018,1,A03J2X,2,0,0
13-20131121,1,A28O1X,1,0,0
13-20140319,1,A28O1X,1,1,0
13-20140319-3,X-W,X-STG,1,1,0
13-20140319-3,1,A29N1X,3,0,0
13-20140319-3,2,07L18B,1,0,0
13-20141211-1,X-W,X-STG,0,0,0
13-20141211-1,1,A28N1X,0,0,0
13-20141212,1,A05L1X,4,0,0
13-20141212-1,1,A29M2X,3,0,0
13-20150120,X-W,X-STG,1,1,46990972
13-20150120,1,A04L1X,3,0,0
13-20150120,2,07R01A,1,0,0
13-20150305,X-W,X-STG,3,3,0
13-20150305,1,A28O1X,1,0,0
13-20150305,2,06L26A,2,0,0
13-20150325,X-W,X-STG,0,0,0
13-20150325,1,A28O1X,3,0,0
13-20150325-1,1,A28M3X,1,0,0
13-20150325-1,1,A28N2X,4,0,0
13-20150325-1,1,A28N3X,6,0,0
13-20150325-2,1,A05L1X,1,0,0
13-20150325-2,2,07R13B,2,0,0
13-20150409-2,1,A28O1X,6,0,0
13-20150415,1,A28N2X,2,0,0
13-20150417,X-W,X-PJ8642,1,0,0
13-20150417,1,A29N2X,4,0,0
13-20150503,X-W,X-STG,2,1,0
13-20150503,1,A28O1X,2,0,0
13-20150518,1,A05L1X,2,0,0
13-20150610,X-W,X-STG,1,1,0
13-20150610,1,A04L2X,1,1,0
13-20150610,2,07R01A,2,0,0
13-20150611,X-W,X-STG,2,2,112195263
13-20150611,1,A28M2X,3,1,105109916
13-20150611,2,07L18B,1,0,0
13-20150701,X-W,X-STG,0,0,0
13-20150701,1,A28O2X,0,1,0
13-20170301,X-W,X-STG,1,1,0
13-AB053-1,1,A04M1X,1,0,0
13-AB054,X-W,X-STG,1,0,0
13-ADA4B8020,1,A03J2X,3,0,0
13-ADA4B8024-1,1,A29M2X,6,0,0
13-ADA4B8024-11,1,A29M2X,9,0,0
13-ADA4B8026,1,A28N1X,9,0,0
13-ADA4B8044,1,A04M2X,3,0,0
13-BE20411,X-W,X-STG,1,1,0
13-BE20411,1,A04M1X,3,0,0
13-BE20414,X-W,X-STG,1,1,0
13-BE20414,1,A28N2X,1,0,0
13-BE20419,2,07R18B,1,0,0
13-BE20431,X-W,X-STG,1,1,0
13-BE20431,1,A29L2X,4,0,0
13-BE20439,X-W,X-STG,1,1,0
13-BE20439,1,A28N1X,1,0,0
13-BE20439,2,07L18B,1,0,0
13-BE207001,X-W,X-STG,0,0,0
13-BE207001,1,A28M1X,0,0,0
13-BE207001,2,07R12A,2,0,0
13-BE20903,X-W,X-STG,3,3,0
13-BE20903,1,A05L1X,1,0,0
13-BE20903,2,07R13B,1,0,0
13-BE21109,X-W,X-STG,3,3,0
13-BE21109,1,A05L1X,1,0,0
13-BEW2001,1,A28N1X,1,1,0
13-BME600507,1,A05L1X,2,0,0
13-BME600519-1,X-W,X-STG,2,2,112195263
13-BME600528,X-W,X-STG,1,1,0
13-BME600528,2,06R14B,4,0,0
13-BME600544-1,2,07R13B,2,0,0
13-BME600557,X-W,X-STG,1,1,0
13-BME600557,1,A05L1X,2,0,0
13-BME600557,2,07L18B,2,0,0
13-BME640001,X-W,X-STG,4,3,0
13-BME711003,1,A29N2X,2,0,0
13-BME711003,2,06R13B,1,0,0
13-BME711003,2,07L18B,1,0,0
13-BME820603,1,A05L1X,2,1,0
13-BME820605,X-W,X-STG,0,0,0
13-BME820605,1,A29O3X,1,0,0
13-BME820605,1,A04M1X,1,0,0
13-BME820606,1,A02J2X,4,0,0
13-BME820617,X-W,X-STG,2,2,0
13-BME820617,1,A04L1X,1,0,0
13-BME920525,X-W,X-STG,1,1,0
13-BME920525,2,07R01A,2,0,0
13-BME920534-1,1,A29N2X,1,0,0
13-BME920537,X-W,X-STG,1,1,0
13-BMEF1001,X-W,X-STG,1,1,0
13-BMEF1001,1,A28L1X,2,0,0
13-BMEF1006,X-W,X-STG,2,2,0
13-BMEF1006,1,A04M2X,8,1,0
13-BMEF1007,1,A28M2X,2,0,0
13-BMEF1007,2,06L22A,1,0,0
13-BMF0003,2,07L22B,1,0,0
13-BMF0003,2,06R13B,2,0,0
13-BMF0004,X-W,X-STG,4,4,0
13-BMF0004,1,A28M2X,2,0,0
13-BMW601,1,A28N1X,7,1,0
